,area_type,availability,location,size,society,total_sqft,bath,balcony,price(in lakhs),bhk,price_per_sqft
0,Plot  Area,Ready To Move,other,4,,1200.0,4.0,1.0,150.0,4.0,12500.0
1,Super built-up  Area,Ready To Move,Yeshwanthpur,2,RNvasth,1541.0,2.0,2.0,130.0,2.0,8436.080467229072
2,Plot  Area,Ready To Move,Begur,4,,1550.0,4.0,2.0,130.0,4.0,8387.09677419355
3,Super built-up  Area,Ready To Move,Bellandur,2,Soodsa ,1051.0,2.0,2.0,60.0,2.0,5708.848715509039
4,Built-up  Area,Ready To Move,other,3,Prurten,3155.0,4.0,,316.0,3.0,10015.847860538826
5,Super built-up  Area,Ready To Move,Hebbal Kempapura,2,,1150.0,2.0,2.0,40.0,2.0,3478.2608695652175
6,Built-up  Area,Ready To Move,Whitefield,2,Vastael,1400.0,2.0,1.0,80.0,2.0,5714.285714285715
7,Super built-up  Area,21-Dec,Kanakpura Road,3,PrarePa,1300.0,3.0,2.0,69.0,3.0,5307.692307692308
8,Super built-up  Area,Ready To Move,other,4,,2000.0,4.0,1.0,135.0,4.0,6750.0
9,Built-up  Area,Ready To Move,CV Raman Nagar,2,,1310.0,2.0,1.0,62.0,2.0,4732.824427480916
10,Super built-up  Area,Ready To Move,other,2,Srarkav,1156.0,2.0,2.0,46.0,2.0,3979.2387543252594
11,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,Elleyt ,1751.0,3.0,3.0,72.0,3.0,4111.936036550543
12,Built-up  Area,Ready To Move,Hebbal Kempapura,3,GonumPl,3408.0,3.0,3.0,260.0,3.0,7629.107981220657
13,Super built-up  Area,Ready To Move,Magadi Road,2,,940.0,2.0,2.0,50.0,2.0,5319.148936170212
14,Super built-up  Area,Ready To Move,Mysore Road,3,,1080.0,2.0,1.0,60.0,3.0,5555.555555555556
15,Super built-up  Area,Ready To Move,Marathahalli,3,PueraRi,1583.0,3.0,3.0,105.0,3.0,6632.975363234365
16,Built-up  Area,Ready To Move,Kasavanhalli,2,HMonymp,1495.0,2.0,2.0,83.0,2.0,5551.8394648829435
17,Super built-up  Area,Ready To Move,Sarjapur  Road,2,BModsen,1241.0,2.0,1.0,82.0,2.0,6607.57453666398
18,Super built-up  Area,Ready To Move,Electronics City Phase 1,1,,630.0,1.0,1.0,39.0,1.0,6190.476190476191
19,Super built-up  Area,Ready To Move,Electronic City,3,GMown E,1350.0,2.0,1.0,56.0,3.0,4148.148148148148
20,Built-up  Area,Ready To Move,Kannamangala,4,,3000.0,4.0,0.0,200.0,4.0,6666.666666666667
21,Built-up  Area,Ready To Move,Marathahalli,2,,1095.0,2.0,1.0,60.0,2.0,5479.45205479452
22,Super built-up  Area,18-Dec,Haralur Road,3,SNnia E,1830.0,3.0,2.0,101.0,3.0,5519.12568306011
23,Super built-up  Area,Ready To Move,Kengeri Satellite Town,2,Malowr ,795.0,2.0,2.0,32.0,2.0,4025.1572327044023
24,Super built-up  Area,21-Dec,Kanakpura Road,2,PrarePa,900.0,2.0,1.0,46.0,2.0,5111.111111111111
25,Super built-up  Area,Ready To Move,Hebbal,2,Prersis,1294.0,2.0,1.0,115.0,2.0,8887.171561051005
26,Super built-up  Area,Ready To Move,Akshaya Nagar,3,Javasi ,1551.0,2.0,2.0,60.0,3.0,3868.4719535783365
27,Built-up  Area,18-Jul,other,3,,2000.0,3.0,1.0,145.0,3.0,7250.0
28,Built-up  Area,Ready To Move,Mahadevpura,4,,3555.0,4.0,1.0,230.0,4.0,6469.760900140647
29,Plot  Area,Ready To Move,Gunjur,4,,2000.0,3.0,0.0,95.0,4.0,4750.0
30,Super built-up  Area,Ready To Move,Basavangudi,3,,1825.0,3.0,,175.0,3.0,9589.04109589041
31,Super built-up  Area,Ready To Move,other,2,Vidgema,1275.0,2.0,1.0,105.0,2.0,8235.29411764706
32,Super built-up  Area,18-Aug,other,2,,1225.0,2.0,2.0,47.0,2.0,3836.734693877551
33,Super built-up  Area,Ready To Move,Harlur,3,Prncyrn,2240.0,5.0,2.0,155.0,3.0,6919.642857142857
34,Built-up  Area,Ready To Move,other,2,SMikaay,950.0,2.0,1.0,44.0,2.0,4631.578947368421
35,Super built-up  Area,19-Oct,Anekal,1,,530.0,1.0,1.0,18.0,1.0,3396.2264150943397
36,Super built-up  Area,18-Dec,Hosakerehalli,2,Maunt M,1085.0,2.0,1.0,47.74,2.0,4400.0
37,Super built-up  Area,Ready To Move,Gottigere,3,SMshi M,1380.0,2.0,2.0,95.0,3.0,6884.057971014493
38,Super built-up  Area,18-May,Kannamangala,2,,1235.0,2.0,2.0,43.63,2.0,3532.7935222672063
39,Plot  Area,Ready To Move,7th Phase JP Nagar,4,,3200.0,4.0,2.0,350.0,4.0,10937.5
40,Super built-up  Area,18-Apr,Varthur,3,Muistry,1600.0,3.0,2.0,63.2,3.0,3950.0
41,Super built-up  Area,Ready To Move,Whitefield,3,Veales ,1740.0,3.0,2.0,95.0,3.0,5459.770114942528
42,Built-up  Area,Ready To Move,Kammasandra,2,Vicony ,1415.0,2.0,2.0,60.0,2.0,4240.282685512368
43,Super built-up  Area,Ready To Move,Horamavu Banaswadi,2,Bhave E,1200.0,2.0,1.0,45.0,2.0,3750.0
44,Super built-up  Area,Ready To Move,Chandapura,3,,971.0,2.0,2.0,38.0,3.0,3913.491246138002
45,Super built-up  Area,18-Jul,Bannerghatta,3,Mamespa,1776.0,3.0,2.0,150.0,3.0,8445.945945945947
46,Built-up  Area,Ready To Move,Hebbal,2,,1100.0,2.0,2.0,42.0,2.0,3818.181818181818
47,Super built-up  Area,Ready To Move,Budigere,3,PrityTr,1820.0,3.0,2.0,93.0,3.0,5109.89010989011
48,Super built-up  Area,Ready To Move,other,2,OlarkLa,1353.0,2.0,2.0,110.0,2.0,8130.081300813008
49,Super built-up  Area,Ready To Move,Kumaraswami Layout,2,Mania G,1000.0,2.0,1.0,58.0,2.0,5800.0
50,Super built-up  Area,Ready To Move,Vittasandra,3,Prlla C,1650.0,3.0,2.0,85.0,3.0,5151.515151515152
51,Plot  Area,Ready To Move,Arekere,3,Vetanan,2400.0,3.0,1.0,180.0,3.0,7500.0
52,Super built-up  Area,Ready To Move,Kambipura,2,Prrtht ,883.0,2.0,1.0,49.0,2.0,5549.263873159683
53,Super built-up  Area,Ready To Move,Electronic City,2,Pao 3ow,1060.0,2.0,1.0,58.0,2.0,5471.698113207547
54,Super built-up  Area,19-Dec,Kanakapura,1,GoityEt,711.0,1.0,1.0,38.0,1.0,5344.585091420535
55,Super built-up  Area,Ready To Move,Hennur,2,Adity T,1231.0,2.0,2.0,50.0,2.0,4061.7384240454917
56,Super built-up  Area,Ready To Move,Hoodi,2,,1220.0,2.0,2.0,50.89,2.0,4171.311475409836
57,Super built-up  Area,Ready To Move,other,3,,1800.0,3.0,2.0,150.0,3.0,8333.333333333334
58,Plot  Area,Ready To Move,other,2,,2260.0,3.0,1.0,90.0,2.0,3982.3008849557523
59,Super built-up  Area,Ready To Move,other,3,Puceswn,1596.0,3.0,1.0,105.0,3.0,6578.9473684210525
60,Super built-up  Area,Ready To Move,BTM Layout,3,PancyPr,1600.0,3.0,2.0,112.0,3.0,7000.0
61,Built-up  Area,Ready To Move,9th Phase JP Nagar,1,NaensGa,600.0,1.0,0.0,20.0,1.0,3333.3333333333335
