,area_type,availability,location,size,society,total_sqft,bath,balcony,price(in lakhs),bhk,price_per_sqft
0,Super built-up  Area,Ready To Move,Whitefield,2,DuenaTa,1170.0,2.0,1.0,38.0,2.0,3247.863247863248
1,Super built-up  Area,19-Dec,Binny Pete,3,She 2rk,1755.0,3.0,1.0,122.0,3.0,6951.5669515669515
2,Super built-up  Area,Ready To Move,other,1,Ceove G,600.0,1.0,0.0,38.0,1.0,6333.333333333333
3,Super built-up  Area,19-Sep,Kanakpura Road,2,Soazak ,1330.74,2.0,2.0,91.79,2.0,6897.665960292769
4,Super built-up  Area,20-Aug,Begur Road,2,Pruthg ,1358.0,2.0,1.0,80.58,2.0,5933.726067746687
5,Super built-up  Area,Ready To Move,other,3,,1450.0,2.0,2.0,70.0,3.0,4827.586206896552
6,Super built-up  Area,Ready To Move,other,2,Makeser,1007.0,2.0,2.0,43.0,2.0,4270.109235352532
7,Super built-up  Area,Ready To Move,Hormavu,2,SyidaCr,1500.0,2.0,1.0,78.0,2.0,5200.0
8,Super built-up  Area,Ready To Move,Kothanur,3,Somumys,1828.0,3.0,,110.0,3.0,6017.505470459519
9,Super built-up  Area,Ready To Move,Hulimavu,2,Prcan P,1125.0,2.0,2.0,50.0,2.0,4444.444444444444
10,Super built-up  Area,Ready To Move,other,3,Hohnari,2000.0,3.0,1.0,175.0,3.0,8750.0
11,Super built-up  Area,Ready To Move,Electronic City,3,GMown E,1500.0,2.0,1.0,64.5,3.0,4300.0
12,Super built-up  Area,Ready To Move,Malleshwaram,1,Utntspa,705.0,1.0,2.0,67.0,1.0,9503.54609929078
13,Super built-up  Area,Ready To Move,Hulimavu,2,Aniona ,1242.0,2.0,3.0,51.0,2.0,4106.280193236715
14,Built-up  Area,Ready To Move,other,4,,2000.0,4.0,1.0,75.5,4.0,3775.0
15,Super built-up  Area,Ready To Move,other,3,MacleK ,2405.0,4.0,2.0,260.0,3.0,10810.81081081081
16,Plot  Area,Ready To Move,other,2,,900.0,2.0,1.0,110.0,2.0,12222.222222222223
17,Super built-up  Area,Ready To Move,Kaggadasapura,3,,1280.0,2.0,2.0,56.0,3.0,4375.0
18,Super built-up  Area,Ready To Move,Electronic City Phase II,2,Coush W,1069.0,2.0,2.0,45.0,2.0,4209.541627689429
